Title,Content,Date
"Lithium is finite – but clean technology relies on such non-renewable 
 resources","Lithium is just one example of a worrying reliance within renewable energy 
 on non-renewable natural resources that exist only in fixed amounts on 
 Earth. Solar ...",11 Jan 2019
"Demand for lithium expected to put a charge in Manitoba's beleaguered 
 mining sector","It may not offset the hundreds of mining jobs that northern Manitoba is 
 losing, but exploration companies are bullish on the potential for lithium.",12 Jan 2019
Better Buy: Albemarle vs. Lithium Americas,"Lithium evaporation ponds. Image source: Getty Iamges. The case for Lithium 
 Americas: ground floor, going up. To invest in a start-up mining company 
 like ...",13 Jan 2019
"Investor China dan Jepang Bangun Pabrik Baterai Lithium di Morowali - 
 Kompas.com","Terbaru, Luhut meresmikan pembangunan pabrik komponen utama baterai lithium 
 dari bahan dasar nikel di kawasan industri PT Indonesia Morowali Industrial 
 Park ...",13 Jan 2019
Australia Looks to Leverage Lithium Reserves,"The Australian government moves to position the country as a world 
 powerhouse in lithium-ion battery manufacturing. Trade Minister Simon 
 Birmingham, ...",14 Jan 2019
Tecchren Batteries to open lithium ion battery unit in Andhra Pradesh,"Andhra Pradesh pegs to be the Lithium Ion manufacturing hub of the country, 
 the Andhra Pradesh Economic Development Board is contemplating facilitating 
 the ...",14 Jan 2019
Lithium Werks appoints T. Joseph Fisher III as chairman,"HENGELO, Netherlands, Jan. 14, 2019 (GLOBE NEWSWIRE) -- Dutch energy 
 storage and battery company Lithium Werks B.V. (www.lithiumwerks.com) has 
 appointed T.",14 Jan 2019
Luhut Klaim RI Punya Pabrik Baterai Lithium Terbesar di Dunia,"Luhut Binsar Pandjaitan mengklaim pabrik bahan baku baterai lithium yang 
 baru dibanding akan menjadi pabrik bahan baku baterai terbesar di dunia. 
 (CNN Indonesia ...",14 Jan 2019
"Exclusive: Chile nuclear watchdog weighs probe into fraud over lithium 
 exports - documents","But CCHEN's discovery that its records of lithium exports are far from 
 accurate could complicate the agency's efforts to determine just how much 
 lithium SQM and ...",15 Jan 2019
LSC Lithium Enters Into Definitive Arrangement Agreement to,"TORONTO, Jan. 15, 2019 (GLOBE NEWSWIRE) -- LSC Lithium Corporation (“LSC” 
 or together with its subsidiaries, the “Company”) (TSXV:LSC) is pleased 
 to ...",15 Jan 2019
"Tiny silicon particles could power lithium ion batteries with 10 times more 
 capacity","University of Alberta chemists have taken a critical step toward creating a 
 new generation of silicon-based lithium ion batteries with 10 times the 
 charge ...",15 Jan 2019
Factbox: Battery makers race to secure Australian lithium supply,"GREENBUSHES: The world's largest hard rock lithium mine is a joint venture 
 between China's Tianqi Lithium and Albemarle. Tianqi holds a 51 percent 
 stake and ...",15 Jan 2019
Packing a punch | Article,"Lithium batteries are one current solution, with investment bank Goldman 
 Sachs calling lithium “the new gasoline”. Global lithium-ion battery 
 production ...",16 Jan 2019
Energy Department Announces Battery Recycling Prize and ...,"These efforts aim to reclaim and recycle critical materials (e.g., cobalt 
 and lithium) from lithium-based battery technology used in consumer 
 electronics, ...",17 Jan 2019
"Malaysia set to manufacture 18650 cells, aiming to become ...","“The whole idea of making Malaysia the regional production hub for 
 lithium-ion batteries is because of the importance of it (the battery). Not 
 just for electric ...",18 Jan 2019
LSC Lithium Files Technical Report for Positive PEA for the,"TORONTO, Jan. 18, 2019 (GLOBE NEWSWIRE) -- LSC Lithium Corporation (“LSC” 
 or together with its subsidiaries, the “Company”) (TSXV:LSC) is pleased 
 to ...",18 Jan 2019
"BHEL, Libcoin to build Indias first lithium-ion battery plant: Govt","State-run BHEL and Libcoin are in talks to form a consortium to initially 
 build a 1GWh lithium-ion battery plant in India, the government said Friday.",18 Jan 2019
Tata group plans to invest in lithium ion battery manufacturing in Gujarat,"Tata group plans to invest in lithium ion battery manufacturing in Gujarat 
 ... Tata Motors' plant at Sanand rolls out Tigor electric car besides 
 manufacturing ...",18 Jan 2019
Lithium-ion batteries for e-cigarette caused fire on WestJet flight: TSB,"Lithium-ion batteries were the cause of a fire in the baggage compartment 
 of a WestJet flight that had to make an emergency landing soon after taking 
 off ...",19 Jan 2019
Buffett’s lithium venture promises secure supply for US carmakers,"The venture hopes to produce up to 90,000 tonnes of lithium carbonate a 
 year from Berkshire's Salton Sea geothermal plants, worth $1.5bn at current 
 prices, ...",20 Jan 2019
Libcoin and BHEL to build India’s first Lithium-ion Gigafactory,"Libcoin Chairman Rajan Duggal said, “Our plan is to be the largest 
 Lithium-ion Battery manufacturer in India, and we aim to be the first mover 
 in one of the ...",21 Jan 2019
Komatsu operates AHS over dedicated private LTE network,"23 AUG 2021. AMG building industrial lithium battery · Power / Remote 
 power. 23 AUG 2021. Future of Mining.",21 Jan 2019
Potential Berkshire U.S. lithium project faces uphill road,"(Reuters) - A reported Berkshire Hathaway Inc project to produce lithium 
 from California geothermal wells has raised questions about what 
 technological ...",22 Jan 2019
New Battery Breakthrough Could Replace Lithium-Ion,"“Fluoride-ion batteries (FIBs) offer a promising new battery chemistry with 
 up to 10 times more energy density than currently available lithium 
 batteries,” ...",23 Jan 2019
Lithium Ion Battery Market Worth $92.2 Billion by 2024 ...,"Demand for lithium ion batteries is very high in Asia Pacific owing to the 
 ever-increasing population and its need for consumer electronics. The 
 market in China ...",24 Jan 2019
Lithium Miners Look to South America Which has 66% of ...,"Nemaska Lithium Inc. (TSX:NMX) (OTC:NMKEF), LSC Lithium Corporation 
 (TSX-V:LSC), Neo Lithium Corp. (TSX-V ...",24 Jan 2019
Chile strikes deal with lithium miner Albemarle in contract dispute,"Lithium is an important ingredient in the batteries that power cell phones, 
 electric vehicles and other consumer goods. In March, Corfo awarded 
 contracts to ...",24 Jan 2019
Lithium treatment and GKS3 suppression could lead to kidney ...,"A commonly used psychiatric medication, also used for bipolar disease, 
 lithium, is known to suppress GSK3. Reports suggest that patients taking 
 this medication ...",24 Jan 2019
"Background: Lithium and geothermal, the types of brine deposits","There are three different types of lithium deposits, brines, pegmatites and 
 sedimentary rocks. Geothermal brine is then one of three brine deposits 
 for ...",25 Jan 2019
MICRON TECHNOLOGY SHAREHOLDER ALERT BY ...,"World Leader in Lithium Signs Definitive Agreement, Begins Drill Program on 
 It's Production Test Well in Argentina; on Track and Ahead of Schedule ...",25 Jan 2019
"In the new lithium 'Great Game,' Germany edges out China in Bolivia","Chinese entities now control nearly half of global lithium production and 
 60 percent of electric battery production capacity. German officials told 
 Reuters they ...",28 Jan 2019
Magnesium batteries: Dawn of the post-lithium era,"Compared to conventional lithium-ion batteries, a magnesium battery has 
 many advantages: When using magnesium as an anode material, energy density 
 is increased ...",28 Jan 2019
Oversold Lithium Could Be About To Rally,"It's been a decade of lows for commodities after posting 7 declines in 11 
 years, but we've seriously underestimated lithium. It's back with a 
 vengeance in ...",28 Jan 2019
"In New Lithium 'Great Game,' Germany Edges Out China in Bolivia","When Germany signed a deal last month to help Bolivia exploit its huge 
 lithium reserves, it hailed the venture as a deepening of economic ties 
 with the ...",28 Jan 2019
"Research into lithium-oxygen batteries could boost performance of 
 electronics, cars","""The current lithium-ion battery, which is used everywhere, doesn't have 
 enough energy density—you have to charge your phone every day."" Recently, 
 Li earned a ...",29 Jan 2019
Mining Weekly Liontown releases study results of 360 000 t/y ...,"PERTH (miningweekly.com) – A scoping study has estimated that the Kathleen 
 Valley lithium project, in Western Australia, could produce some 360 000 
 t/y of ...",29 Jan 2019
Lithium Giant's Landmark Deal Is Big Step to Battery 'Dream',"The country holding the world's largest reserves of lithium says it's one 
 step closer to becoming a manufacturing hub for rechargeable batteries used 
 in ...",31 Jan 2019
Raw material costs to limit battery price decline: AABC,"The average cost in China of a lithium nickel-cobalt-manganese (NCM) 
 battery fell to $174/kWh last year, and an average lithium iron phosphate 
 (LFP) battery ...",31 Jan 2019
"The Worldwide Lithium Ion Battery Market by Type, Power ...","The market for lithium nickel manganese oxide (Li-NMC) is estimated to grow 
 at a higher CAGR during the forecast period. The automotive industry has 
 dominated ...",1 Feb 2019
Sodium is the new lithium: Researchers find a way to boost ...,"D., an Assistant Professor at the Department of Advanced Ceramics at 
 NITech. The popular lithium-ion batteries have several benefits - they are 
 rechargeable and ...",1 Feb 2019
Lithium-Rich Chile Seeks to Become Major Player in Battery ...,"The country holding the world's largest reserves of lithium says it is one 
 step closer to becoming a manufacturing hub for rechargeable batteries used 
 in ...",1 Feb 2019
"A mining tycoon has a $1 billion plan to release China's chokehold on the 
 global electric car race","South African mining tycoon Brian Menell says China controls most of the 
 supply for rare earth metals, lithium, and other important technology 
 metals.",2 Feb 2019
Energy Absolute set to build EVs and lithium-ion batteries in ...,"A joint venture with Taiwan's Amita Technologies will see EA developing 
 lithium-ion batteries, which in phase two of the related project will 
 produce units ...",4 Feb 2019
Untangling a strange phenomenon that both helps and hurts ...,"The lithium-ion batteries that power electric vehicles and phones charge 
 and discharge by ferrying lithium ions back and forth between two 
 electrodes, ...",5 Feb 2019
Bolivia picks Chinese partner for $2.3 billion lithium projects,"China's Xinjiang TBEA Group Co Ltd will hold a 49 percent stake in a 
 planned joint venture with Bolivia's state lithium company YLB, the 
 Bolivian firm said.",6 Feb 2019
CLB Americas Announces New Advanced Silicon Anode ...,"and its affiliates have been conducting R&D work optimizing their 
 proprietary silicon carbon anode material (SiCAM) to enhance lithium ion 
 battery performance.",6 Feb 2019
"The lithium boom is over and only one Canadian company is poised to emerge 
 with a new mine","For a brief window of time, after Nemaska Lithium Inc.'s cafeteria went up 
 in flames last week and the company halted construction of its mine in 
 Quebec, ...",7 Feb 2019
MGX Minerals Announces Oilsands Lithium Extraction and ...,"This lithium can be extracted by the technology once the water is cleaned 
 of oil and bitumen as result of the front-end water treatment system 
 processing.",7 Feb 2019
"Medications for bipolar disorder: List, types, and side effects","Lithium works in the brain to help stabilize moods. Doctors may prescribe 
 it to help treat bipolar disorder and acute mania. Lithium can take weeks 
 to months to ...",7 Feb 2019
Cannabis craze weeds out junior mining field,"And he was also considering growing cannabis at his lithium site on the 
 outskirts of Zimbabwe's capital Harare. “We don't yet have a marijuana 
 license, but we ...",7 Feb 2019
Download Latest Vivo Y93 India USB Drivers | MediaTek ...,"It is backed by a Non-Removable 4,030 mAh Lithium-Ion battery. Vivo Y93 
 India also has a fingerprint sensor. Download Latest Vivo Y93 India USB 
 Drivers ...",7 Feb 2019
"Lithium battery recycling in Australia: problem, or opportunity?","While the majority of lithium batteries are recyclable, only a tiny 
 proportion of them are actually recycled. As electric vehicles become 
 increasingly common, ...",11 Feb 2019
AsiaBaseMetals Inc. Announces Entry into Myanmar ...,"AsiaBaseMetals Inc. Announces Entry into Myanmar; Application for Lithium 
 Exploration Permits and Grant of Stock Options. February 11, 2019 08:00 
 ET ...",11 Feb 2019
"Beimeng Fu, Author at SupChina","Search for any China-based company, Evergrande Group, Ganfeng Lithium, 
 Shenghe Resources Holding, China Northern Rare Earth Group, Baotou 
 Iron&Steel ...",12 Feb 2019
Viridor issues lithium ion battery warning after landfill fire,"Viridor has issued a warning on the safe disposal of lithium ion batteries 
 following a fire at its landfill site in Dunbar last month. Pictured: Barry 
 Falgate - ...",13 Feb 2019
Defect-free graphene might solve lithium-metal batteries ...,"(Nanowerk Spotlight) Rechargeable lithium-ion (Li-ion) batteries are the 
 dominant technology not only for portable electronics but it also is 
 becoming the ...",13 Feb 2019
OSHA issues safety bulletin on hazards of lithium batteries ...,"“When lithium batteries fail to operate safely, they may present a fire or 
 explosion hazard.” Battery damage can occur from physical impact, exposure 
 to extreme ...",13 Feb 2019
Quebec lithium developer's stock craters after cost blowout ...,"Nemaska Lithium's (TSE: NMX) stock plummeted Wednesday after disclosing it 
 has been forced to revise the budget for the Whabouchi lithium mine and ...",13 Feb 2019
Exploding vape pen battery starts fire on SkyWest flight,"Air passengers have been reminded yet again why lithium-ion batteries 
 aren't allowed inside checked baggage. The incident? A fire on a SkyWest 
 Airlines ...",14 Feb 2019
Félix Pagé suggère 10 ans de pénitencier pour son crime,"batteries lithium. mercredi 25 août 2021 - 6h13 ... Résumé des nouvelles 
 concernant la COVID-19 et ses effets sur votre vie au quotidien ! batteries 
 lithium ...",14 Feb 2019
Lithiophilicity chemistry of heteroatom-doped carbon to guide ...,"The uncontrollable growth of lithium (Li) dendrites seriously impedes 
 practical applications of Li metal batteries. Various lithiophilic 
 conductive ...",15 Feb 2019
Where will the materials for our clean energy future come from?,"But our supply chains for other materials — like neodymium for wind 
 turbines, lithium and cobalt for batteries, and copper for basically 
 everything — may ...",15 Feb 2019
Correction: Lithium Ion Batteries-Recycling story,"CHICAGO (AP) — In a story Feb. 15 about a Department of Energy lithium-ion 
 battery research and development project, The Associated Press reported ...",16 Feb 2019
DOE opens lithium-ion battery recycling center,"The use of lithium-ion batteries has surged in recent years, starting with 
 electronics and expanding into the growing electric and hybrid vehicle 
 industry, ...",18 Feb 2019
Canada lithium mining hopeful takes another big hit - MINING ...,"Shares in Nemaska Lithium (TSE: NMX) announced on Monday it has terminated 
 a multi-year supply agreement with Livent Corporation that would cost the 
 Quebec ...",18 Feb 2019
How Graphene Defects Affect Lithium Metal Battery Performance,"Lithium (Li) metal batteries (LMBs) are promising alternatives to Li-ion 
 batteries (LIBs) given the much higher energy density associated with the 
 lithium ...",18 Feb 2019
"Lithium-air batteries may power future cars, houses: Study","Current lithium ion battery technology will probably not be able to handle 
 the coming decades' huge demand for energy. It is estimated that by 2050, 
 electricity ...",19 Feb 2019
DOE's ReCell Center Will Recycle Lithium-Ion Batteries,"A new lithium-ion battery recycling research and development center, 
 launched by the Department of Energy (DOE), has been opened at Argonne 
 National ...",19 Feb 2019
Civmec gets key role in Albemarle lithium hydroxide plant,"Albemarle's new lithium hydroxide production plant will be located in the 
 Kemerton Strategic Industrial Area, approximately 160km south of Perth, ...",19 Feb 2019
"Lithium-air batteries, that run on ambient oxygen, may power cars, houses 
 in future","Current lithium-ion battery technology will probably not be able to handle 
 the coming decades' huge demand for energy. It is estimated that by 2050, 
 electricity ...",20 Feb 2019
Lithium Market Cheers as Top Supplier Sees Demand Driving ...,"The world's largest producer of lithium calmed investor fears of oversupply 
 and slower Chinese demand for the mineral used to power electric 
 vehicles, ...",21 Feb 2019
Lithium Hydroxide Market to Gain Owing to Enhanced Usage ...,"The Lithium Hydroxide [LiOH] is a mineral composite. It is insoluble in 
 water and partially soluble in ethanol. It is existing at a commercial 
 scale as a ...",21 Feb 2019
Lower prices push North American Lithium to pause ...,"Canada-based North American Lithium has halted production of lithium 
 spodumene at its La Corne mining operation in Quebec, eastern Canada, 
 because of the lower ...",21 Feb 2019
"Expanding the use of silicon in batteries, by preventing ...","Silicon anodes are generally viewed as the next development in lithium-ion 
 battery technology. Silicon's ability to absorb more charge translates to 
 longer ...",21 Feb 2019
Canadian company to pursue lithium exploration in Myanmar,"Lithium is a chemical compound that is used mainly in medicine as well as 
 in the making of aircraft and certain batteries. “ ...",21 Feb 2019
Europe's first lithium mine looks to automakers for investment,"Lithium hydroxide, a key component in EV batteries, currently costs about 
 $14,000 a ton. BOCHUM — Europe's first lithium mine is looking for auto 
 industry ...",21 Feb 2019
China Rushes to Dominate Global Supply of Lithium,"Discoveries of lithium in North America and Europe may loosen China's 
 tightening hold on the market in time, but the race to find and exploit new 
 deposits ...",23 Feb 2019
EV batteries are born in Chilean evaporation ponds,"Lithium carbonate salts are mined in much the same way as edible fleur de 
 sel that's famously harvested in Guérande and elsewhere. Companies pump 
 brine ...",24 Feb 2019
AT&T is Mexico's mobile market share winner,"Bacanora Lithium: Update on Orr-Ewing Royalty Dispute · COVID-19 generates 
 major internet access boost in Brazil · Mexico provides train megaproject 
 updates ...",25 Feb 2019
True Detective Season Finale Recap: Nobody’s Gonna Hear It But Us,"And so, with the help of Junius and large doses of lithium, Julie lived in 
 some pink basement rooms outfitted with everything a little girl could 
 seemingly ...",25 Feb 2019
More Power Per Pound: 24M Lithium Ion Batteries Ahead of ...,"Cambridge lithium-ion battery startup 24M claims to have punched through a 
 “state-of-the art industry benchmark” for electric vehicle power storage 
 by ...",26 Feb 2019
US bans lithium batteries from cargo holds on passenger flights,"The new interim final rule disallows lithium ion cells and batteries in the 
 cargo area of passenger airplanes. The rule also sets new guidance for 
 lithium ...",27 Feb 2019
Fed Officials Issue Interim Rule Covering Lithium Batteries On ...,"Travelers won't be allowed to carry lithium batteries as cargo on passenger 
 airlines under an interim U.S. Department of Transportation rule.",28 Feb 2019
Bipolar patients 'could be on the wrong drugs',"Lithium prescribed on its own is the recommended first treatment for 
 bipolar disorder. But the study of more than 23,000 patients across 
 Scotland between 2007 ...",28 Feb 2019
Nemaska Lithium Sends Lithium Hydroxide Monohydrate ...,"QUEBEC CITY, Feb. 28, 2019 (GLOBE NEWSWIRE) -- Nemaska Lithium Inc. (the 
 “Corporation”) (TSX: NMX) (OTCQX: NMKEF) (Frankfurt: N0T) is pleased to 
 announce ...",28 Feb 2019
Lithium Found at Oklahoma Plant,"Lithium Found at Oklahoma Plant. Test results show groundwater in Oklahoma 
 near a power plant have tested high for the chemical lithium.",28 Feb 2019
A Rocket Science Solution To Lithium-Ion Battery Fires,"Although rare, lithium-ion batteries can fail, resulting in a fire. This 
 fire can spread to other cells, and can ultimately explode in a thermal 
 runaway.",1 Mar 2019
"Urja Global to set up ₹ 200-cr electric vehicle, lithium-ion battery unit 
 in AP","It is a player in the electric mobility ecosystem and currently has 
 products which range from lithium ion batteries, E-rickshaw batteries and 
 automotive ...",1 Mar 2019
Plateau Energy Metals Increases Total Lithium Resources by ...,"(“Plateau” or the ""Company"") (TSX-V:PLU) (OTCQB:PLUUF) is pleased to 
 announce an updated Mineral Resource Estimate for the Falchani Lithium 
 Project located on ...",4 Mar 2019
MGX and Eureka to recover lithium from produced water,"Lithium-focused junior MGX Minerals has teamed up with water treatment 
 company Eureka Resources to potentially recover lithium from water produced 
 at ...",5 Mar 2019
Spredfast + Lithium Join Forces as “Khoros” to Offer the ...,"Spredfast + Lithium Join Forces as “Khoros” to Offer the Industry's Best 
 Customer Engagement Platform. Khoros to provide enterprise companies with a 
 best-in- ...",5 Mar 2019
LithiumOre Partner Discusses the Potential of its Railroad ...,"3PL is a privately held mining development firm engaged in the exploration 
 and development of lithium brine deposits within the Western Nevada Basin. 
 Made in ...",6 Mar 2019
Fluoride-Based Batteries Seek to Surpass Lithium Cells,"Lithium-based chemistries dominate today's battery technologies due to 
 their high energy density by volume and by weight. But they may not be the 
 only ...",7 Mar 2019
Recovering rare earths from fertilizer waste,"ADVERTISEMENT · It's time to get serious about recycling lithium-ion 
 batteries · Derya Baran · Alaaeddin Alsbaiee · Names for elements 113, 115, 
 117, and 118 ...",9 Mar 2019
Novel technology aims to improve lithium metal battery life ...,"Rechargeable lithium metal batteries with increased energy density, 
 performance, and safety may be possible with a newly-developed, 
 solid-electrolyte interphase ...",11 Mar 2019
How Albemarle Is Preparing for Next-Generation Lithium-Ion Batteries,"The internal analysis from the world's leading lithium producer estimated 
 the world would need 400,000 metric tons of lithium carbonate equivalent 
 (LCE) by 2025 ...",11 Mar 2019
Broadband electro-optic frequency comb generation in a ...,"Our comb generator uses a low-loss lithium niobate microring resonator with 
 loaded Q ≈ 1.5 million, which is integrated with microwave electrodes for 
 efficient ...",11 Mar 2019
"Government notifies phased import duty hike on electric PV parts, 
 lithium-ion cells","The basic import duty on lithium ion cells used in manufacturing of lithium 
 ion accumulator for EVs will be doubled to 10 per cent from April 2021.",11 Mar 2019
Worldwide Lithium Ion Battery Cathodes Market Report 2019 ...,"NMC lithium battery cathode materials are used for electric vehicles. As 
 the cathode markets develop toward NMC, it is clear the LFP favored by 
 Chinese ...",14 Mar 2019
Advantage Lithium replaces CEO in wake of college admissions scandal,"(Reuters) - Advantage Lithium Corp said on Thursday it has temporarily 
 replaced Chief Executive David Sidoo as he battles U.S. fraud charges 
 connected to a ...",14 Mar 2019
SQM receives Chile's approval for lithium plant expansion,"SANTIAGO (Reuters) - Chilean lithium miner SQM on Thursday received 
 environmental approval to expand its lithium carbonate production plant, ...",14 Mar 2019
"Huge demand for copper, cobalt, lithium and nickel in the ...","Purkiss's presentation also emphasises an increasing amount of nickel 
 content in lithium nickel manganese cobalt oxide (NMC) batteries, adding 
 that nickel input ...",15 Mar 2019
Composite lithium electrode with mesoscale skeleton via ...,"Lithium metal–based batteries are attractive energy storage devices because 
 of high energy density. However, uncontrolled dendrite growth and 
 virtually ...",15 Mar 2019
Lithium Ion Battery Market To Reach USD 109.72 Billion By ...,"Lithium-ion batteries are increasingly being used as a hybrid and 
 full-battery electric vehicle (BEV) power source. Over the past couple of 
 years, China, the US ...",18 Mar 2019
How three battery types work in grid-scale energy storage ...,"A typical lithium-ion battery system can store and regulate wind energy for 
 the electric grid. Back in 2017, GTM Research published a report on the 
 state of the ...",18 Mar 2019
Costs force rethink of Neometals’ Kalgoorlie lithium refinery study,"The company behind a proposed lithium refinery in Kalgoorlie has delayed a 
 study into the project, citing higher-than-expected capital costs and weak 
 market ...",19 Mar 2019
Standard Lithium engages WorleyParsons' Advisian for ...,"Standard Lithium has engaged Advisian, the consulting arm of WorleyParsons 
 Canada Services, to carry out a preliminary economic assessment (PEA) on 
 its ...",20 Mar 2019
Neo Lithium Announces Positive PFS Results on its 3Q Project,"Groundwater Insight Inc. is a technical consultancy with lithium brine 
 experience on more than 18 salars in exploration or production stages.The 
 reserve ...",21 Mar 2019
EV battery recycling to start scaling up by 2025,"Recycled lithium is expected to account for 3-4pc of global lithium supply 
 by 2025 and to rise rapidly from there. Battery recycler Umicore expects 
 growth ...",21 Mar 2019
Innovation boosts lithium-ion battery recycling rate to over 80%,"Finnish clean-energy company Fortum has achieved a lithium-ion battery 
 material recycling rate of over 80% — against what it says is a current 
 rate of 50% ...",25 Mar 2019
Upright Structure: Prolonging the Life of Lithium Batteries,"The booming development of consumer electronics and electrical vehicles 
 urgently requires high energy density rechargeable batteries. Lithium metal 
 is one ...",25 Mar 2019
High Voltage: Even the International Space Station is now ...,"Each week our High Voltage column wraps all the news driving ASX battery 
 metals stocks with exposure to lithium, cobalt, graphite, manganese and 
 vanadium.",26 Mar 2019
Who Are Tesla's Lithium Suppliers?,"Lithium stocks have been volatile in recent years, though the electric 
 vehicle revolution means that demand for the metal should be strong for 
 many years.",26 Mar 2019
LCOE for li-ion batteries has fallen to $187/MWh — BNEF,"Lithium-ion batteries are increasingly posing a competitive threat to coal- 
 and gas-fired generating plants when paired with solar and wind projects in 
 a ...",26 Mar 2019
SK Innovation to build lithium-ion battery separator plant in ...,"... SK Innovation, a subsidiary of South Korea's third-largest conglomerate 
 SK Group, will build a lithium-ion battery separator (LiBS) plant in west 
 Poland ...",27 Mar 2019
Nemaska Lithium and Johnson Matthey Expand Lithium ...,"Nemaska Lithium is entitled, if ever necessary, to reschedule the 
 commencement of the supply period within certain parameters set out in the 
 agreement and based ...",28 Mar 2019
"WA cashes in on lithium boom as work begins on world's largest lithium 
 refinery","A new lithium refinery near Bunbury in WA has begun construction, and will 
 annually produce 100,000 tonnes of lithium hydroxide — more than a third of 
 the ...",28 Mar 2019
New approach could boost energy capacity of lithium batteries ...,"Summary: Researchers have found a new way to make cathodes for lithium 
 batteries, offering improvements in the amount of power for both a given 
 weight and a ...",28 Mar 2019
Lithium miner puts up 'for sale' sign next door to Albemarle buy,"Pilbara Minerals has moved to sell up to a 49 per cent stake in its 
 flagship Pilgangoora lithium project and dusted off plans to build what 
 could become a ...",28 Mar 2019
Bị đắng miệng là bệnh gì? Làm sao để hết đắng miệng?,"Thuốc lithium; Thuốc kháng sinh; Vitamin có chứa khoáng chất hoặc kim loại 
 như đồng, sắt hoặc kẽm. 11. Cảm lạnh gây đắng miệng.",28 Mar 2019
Construction begins on Australia's largest lithium processing ...,"The start of construction of what will become the world's largest lithium 
 processing plant was celebrated on Thursday. Premier Mark McGowan joined 
 United ...",29 Mar 2019
American Manganese to help US government recover lithium ...,"Product of American Manganese's Lithium-ion Battery Recycling Pilot Plant. 
 Photo by American Manganese. American Manganese (TSX.V: AMY) announced this 
 week that ...",29 Mar 2019
India seeks to break into ‘Lithium triangle’,"India seeks to break into 'Lithium triangle'. NEW DELHI:President Ram Nath 
 Kovind&rsquo;s ongoing visit to Bolivia today marks another step in 
 India&rsquo;s bid ...",31 Mar 2019
New NFPA Battery Standard Could Impact Data Center UPS ...,"The new NFPA 855 standard was developed to provide safety guidance for the 
 growing use of lithium-ion batteries in uninterruptible power supply 
 systems (UPS) ...",1 Apr 2019
India gains access to Bolivian lithium reserves,"The two countries have agreed to facilitate Bolivian supplies of lithium 
 Carbonate to India and foster joint ventures for Lithium battery / cell 
 production ...",1 Apr 2019
Waste industry looks to tackle Lithium-Ion battery fires ...,"Sector-led guidance is being drafted to assist waste management companies 
 in handling lithium ion batteries to prevent fires at waste sites. Both 
 the ...",1 Apr 2019
New 'blue-green' solution for recycling world's batteries: Rice ...,"Rice scientists show solvent leaches cobalt, lithium for reuse from spent 
 batteries. Date: April 1, 2019; Source: Rice University; Summary: Materials 
 scientists ...",1 Apr 2019
Rice University reports new lithium-ion battery technique,"Researchers at Rice University in Houston say they have a solution, 
 literally, to deal with sometimes difficult-to-recycle lithium-ion 
 batteries used in ...",2 Apr 2019
"METALS-London copper down as dollar rises, Peru mine concerns ease","GANFENG LITHIUM: China's Ganfeng Lithium Co said on Monday it would spend 
 $160 million to boost its ownership stake in an Argentina lithium project 
 with ...",2 Apr 2019
